slug,model,source_geometry,square_shape,bin_bp,start_bp,end_bp,native_scale,display_min,display_max,difference_absolute_max,joint_finite_fraction,symmetry_max_abs_error,reconstruction,value_normalization_or_fitted_rescaling
experimental,Experimental Hi-TrAC,342 x 342 square raw-PET matrix,"[342, 342]",1000,4803000,5145000,cLoops2 display: log10(PET + 1),0.1,0.8,1.2041199826559248,1.0,0.0,Already a square 1-kb matrix; no geometric reconstruction.,False
akita_v2,AkitaV2,flattened upper triangle,"[166, 166]",2048,4804016,5143984,processed log(O/E),-0.9644662141799927,0.9036331176757812,0.2174835205078125,0.9820002903178982,0.0,Released upper triangle mirrored into a square; masked diagonals remain missing.,False
deepc,DeepC,83 center poles x 201 partner offsets,"[68, 68]",5000,4805000,5145000,normalized center-anchored interaction profile,3.0334500074386597,6.77869987487793,0.4226999282836914,1.0,0.0,"Coordinate-equivalent implementation of Supplementary Figure 8: mirror poles, rotate to endpoint coordinates, crop, and average duplicate pair estimates; no value rescaling.",False
orca,Orca,dense symmetric matrix,"[86, 86]",4000,4802000,5146000,normalized contact enrichment,-0.8134788870811462,1.5133109092712402,0.4694198966026306,1.0,0.0,Native square matrix cropped by genomic coordinate.,False
epcot,EPCOT,flattened upper triangle,"[340, 340]",1000,4804000,5144000,model-native predicted O/E,-3.7490074634552,-0.4292418956756592,1.1284897327423096,1.0,0.0,Released upper triangle mirrored into a square.,False
chromafold,ChromaFold motif,36 center V-stripes x 400 partner offsets,"[34, 34]",10000,4810000,5150000,HiC-DC+ normalized Z-score,-0.18830221891403198,3.5398203134536743,0.9938374757766724,0.9705882352941176,0.0,"Associated benchmark conversion: expand each V-stripe into genomic pairs and average duplicate (start, end) estimates; diagonal remains missing; no value rescaling.",False
alphagenome,AlphaGenome,dense symmetric matrix,"[166, 166]",2048,4804016,5143984,relative contact output,-1.2734375,1.6953125,0.5458984375,1.0,0.0,Native square matrix cropped by genomic coordinate.,False
chimaera,Chimaera,four overlapping 32 x 128 distance-position images,"[166, 166]",2048,4803584,5143552,standardized log-distance-residual,-1.2743911147117615,1.9922045469284058,1.2287261188030243,0.3042531572071418,0.0,Invert native midpoint-distance coordinates to endpoint pairs and average overlapping fragments; unsupported distances remain missing; no interpolation or value rescaling.,False
